125,Radiologi,CT pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30616-7,CT Pelvis WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Pelvis,Doc,CT,,http://loinc.org,,,
126,Radiologi,CT pemeriksaan densitas mineral tulang satu lokasi atau lebih pada tulang-tulang aksial,Permintaan & Hasil,95925-4,CT Skeletal system.axial Multisection for bone density,Multisection for bone density,Find,Pt,Whole body>Skeletal system.axial,Doc,CT,,http://loinc.org,,,
127,Radiologi,CT perfusi kepala dengan kontras,Permintaan & Hasil,24728-8,CT perfusion Head,Multisection,Find,Pt,Head,Doc,CT.perfusion,,http://loinc.org,,,
128,Radiologi,CT perfusi serebral dengan kontras IV,Permintaan & Hasil,39142-5,CT perfusion Head W contrast IV,Multisection^W contrast IV,Find,Pt,Head,Doc,CT.perfusion,,http://loinc.org,,,
129,Radiologi,CT pituitari dan sella turcica dengan kontras IV,Permintaan & Hasil,30590-4,CT Pituitary and Sella turcica W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Pituitary+Sella turcica,Doc,CT,,http://loinc.org,,,
130,Radiologi,CT pituitari dan sella turcica nonkontras,Permintaan & Hasil,30591-2,CT Pituitary and Sella turcica WO contrast,Multisection^WO contrast,Find,Pt,Head>Pituitary+Sella turcica,Doc,CT,,http://loinc.org,,,
131,Radiologi,CT pituitari dan sella turcica nonkontras diikuti dengan kontras IV,Permintaan & Hasil,24904-5,CT Pituitary and Sella turcica WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Pituitary+Sella turcica,Doc,CT,,http://loinc.org,,,
132,Radiologi,CT scanogram ekstremitas bawah bilateral nonkontras,Permintaan & Hasil,78973-5,CT scanogram Lower extremity - bilateral for leg measurement WO contrast,Multisection for leg measurement^WO contrast,Find,Pt,Lower extremity.bilateral,Doc,CT.scanogram,,http://loinc.org,,,
133,Radiologi,CT sinus,Permintaan & Hasil,30588-8,CT Sinuses,Multisection,Find,Pt,Head>Sinuses,Doc,CT,,http://loinc.org,,,
134,Radiologi,CT sinus kontras IV,Permintaan & Hasil,36255-8,CT Sinuses W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Sinuses,Doc,CT,,http://loinc.org,,,
135,Radiologi,CT sinus nonkontras,Permintaan & Hasil,36529-6,CT Sinuses WO contrast,Multisection^WO contrast,Find,Pt,Head>Sinuses,Doc,CT,,http://loinc.org,,,
136,Radiologi,CT telinga dalam dengan kontras IV,Permintaan & Hasil,30583-9,CT Internal auditory canal W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Internal auditory canal,Doc,CT,,http://loinc.org,,,
137,Radiologi,CT telinga dalam nonkontras,Permintaan & Hasil,30584-7,CT Internal auditory canal WO contrast,Multisection^WO contrast,Find,Pt,Head>Internal auditory canal,Doc,CT,,http://loinc.org,,,
138,Radiologi,CT telinga dalam nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36282-2,CT Internal auditory canal WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Internal auditory canal,Doc,CT,,http://loinc.org,,,
139,Radiologi,CT thigh nonkontras,Permintaan & Hasil,36460-4,CT Thigh WO contrast,Multisection^WO contrast,Find,Pt,Lower extremity>Thigh,Doc,CT,,http://loinc.org,,,
140,Radiologi,CT thorakoabdominal dengan kontras IV,Permintaan & Hasil,42275-8,CT Chest and Abdomen W contrast IV,Multisection^W contrast IV,Find,Pt,Chest+Abdomen,Doc,CT,,http://loinc.org,,,
141,Radiologi,CT thorax dengan kontras IV,Permintaan & Hasil,24628-0,CT Chest W contrast IV,Multisection^W contrast IV,Find,Pt,Chest,Doc,CT,,http://loinc.org,,,
142,Radiologi,CT thorax nonkontras,Permintaan & Hasil,29252-4,CT Chest WO contrast,Multisection^WO contrast,Find,Pt,Chest,Doc,CT,,http://loinc.org,,,
143,Radiologi,CT thorax nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30598-7,CT Chest WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest,Doc,CT,,http://loinc.org,,,
144,Radiologi,CT TMJ nonkontras,Permintaan & Hasil,37283-9,CT Temporomandibular joint WO contrast,Multisection^WO contrast,Find,Pt,Head>Temporomandibular joint,Doc,CT,,http://loinc.org,,,
145,Radiologi,CT urografi dengan kontras IV,Permintaan & Hasil,87866-0,CT Kidney and Ureter and Urinary bladder WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,CT,,http://loinc.org,,,
146,Radiologi,CT urografi nonkontras,Permintaan & Hasil,X099242,CT urografi nonkontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
147,Radiologi,CT usus halus melalui tabung enteroklisis,Permintaan & Hasil,30600-1,CT Small bowel W positive contrast via enteroclysis tube,Multisection^W positive contrast via enteroclysis tube,Find,Pt,Abdomen>Small bowel,Doc,CT,,http://loinc.org,,,
148,Radiologi,CT vertebra cervical dan thoracic kontras IV,Permintaan & Hasil,86985-9,CT Cervical and thoracic spine W contrast IV,Multisection^W contrast IV,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
149,Radiologi,CT vertebra cervical dan thoracic nonkontras,Permintaan & Hasil,83304-6,CT Cervical and thoracic spine WO contrast,Multisection^WO contrast,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
150,Radiologi,CT vertebra cervical dengan kontras IT,Permintaan & Hasil,24934-2,CT Cervical spine W contrast IT,Multisection^W contrast IT,Find,Pt,Neck>Spine.cervical,Doc,CT,,http://loinc.org,,,
151,Radiologi,CT vertebra cervical dengan kontras IV,Permintaan & Hasil,24933-4,CT Cervical spine W contrast IV,Multisection^W contrast IV,Find,Pt,Neck>Spine.cervical,Doc,CT,,http://loinc.org,,,
152,Radiologi,CT vertebra cervical nonkontras,Permintaan & Hasil,30592-0,CT Cervical spine WO contrast,Multisection^WO contrast,Find,Pt,Neck>Spine.cervical,Doc,CT,,http://loinc.org,,,
153,Radiologi,CT vertebra cervical nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36401-8,CT Cervical spine WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck>Spine.cervical,Doc,CT,,http://loinc.org,,,
154,Radiologi,CT vertebra cerviothoracal dengan kontras IV,Permintaan & Hasil,86959-4,CT Cervical and thoracic spine WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
155,Radiologi,CT vertebra cerviothoracal nonkontras,Permintaan & Hasil,83304-6,CT Cervical and thoracic spine WO contrast,Multisection^WO contrast,Find,Pt,Neck>Spine.cervical & Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
156,Radiologi,CT vertebra lumbal dengan kontras IT,Permintaan & Hasil,24965-6,CT Lumbar spine W contrast IT,Multisection^W contrast IT,Find,Pt,Abdomen>Spine.lumbar,Doc,CT,,http://loinc.org,,,
157,Radiologi,CT vertebra lumbal dengan kontras IV,Permintaan & Hasil,24964-9,CT Lumbar spine W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen>Spine.lumbar,Doc,CT,,http://loinc.org,,,
158,Radiologi,CT vertebra lumbal nonkontras,Permintaan & Hasil,30620-9,CT Lumbar spine WO contrast,Multisection^WO contrast,Find,Pt,Abdomen>Spine.lumbar,Doc,CT,,http://loinc.org,,,
159,Radiologi,CT vertebra lumbal nonkontras diikuti dengan kontras IT,Permintaan & Hasil,44114-7,CT Lumbar spine WO and W contrast IT,Multisection^WO & W contrast IT,Find,Pt,Abdomen>Spine.lumbar,Doc,CT,,http://loinc.org,,,
160,Radiologi,CT vertebra lumbal tanpa kontras diikuti dengan kontras IV,Permintaan & Hasil,36402-6,CT Lumbar spine WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Spine.lumbar,Doc,CT,,http://loinc.org,,,
161,Radiologi,CT vertebra lumbar dan sacrum nonkontras,Permintaan & Hasil,82697-4,CT Spine Lumbar and Sacrum WO contrast,Multisection^WO contrast,Find,Pt,Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,CT,,http://loinc.org,,,
162,Radiologi,CT vertebra lumbosacral dengan kontras,Permintaan & Hasil,82696-6,CT Spine Lumbar and Sacrum W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,CT,,http://loinc.org,,,
163,Radiologi,CT vertebra lumbosacral nonkontras,Permintaan & Hasil,82697-4,CT Spine Lumbar and Sacrum WO contrast,Multisection^WO contrast,Find,Pt,Abdomen>Spine.lumbar & Pelvis>Sacrum,Doc,CT,,http://loinc.org,,,
164,Radiologi,CT vertebra thoracal dengan kontras IT,Permintaan & Hasil,30596-1,CT Thoracic spine W contrast IT,Multisection^W contrast IT,Find,Pt,Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
165,Radiologi,CT vertebra thoracal dengan kontras IV,Permintaan & Hasil,24979-7,CT Thoracic spine W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
166,Radiologi,CT vertebra thoracal nonkontras,Permintaan & Hasil,30597-9,CT Thoracic spine WO contrast,Multisection^WO contrast,Find,Pt,Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
167,Radiologi,CT vertebra thoracal nonkontras diikuti dengan kontras IT,Permintaan & Hasil,44113-9,CT Thoracic spine WO and W contrast IT,Multisection^WO & W contrast IT,Find,Pt,Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
168,Radiologi,CT vertebra thoracal nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36403-4,CT Thoracic spine WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest>Spine.thoracic,Doc,CT,,http://loinc.org,,,
169,Radiologi,CT vertebra thoracolumbar dengan kontras IV,Permintaan & Hasil,83294-9,CT Thoracic and lumbar spine W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Spine.thoracic & Abdomen>Spine.lumbar,Doc,CT,,http://loinc.org,,,
170,Radiologi,CT vertebra thoracolumbar nonkontras,Permintaan & Hasil,83310-3,CT Thoracic and lumbar spine WO contrast,Multisection^WO contrast,Find,Pt,Chest>Spine.thoracic & Abdomen>Spine.lumbar,Doc,CT,,http://loinc.org,,,
171,Radiologi,CT virtual bronchoscopy / thorax-nonkontras,Permintaan & Hasil,18744-3,Bronchoscopy study,Bronchoscopy study,Find,Pt,Respiratory system,Doc,Bronchoscopy,,http://loinc.org,,,
172,Radiologi,CT wrist dengan kontras IV,Permintaan & Hasil,37447-0,CT Wrist W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Wrist,Doc,CT,,http://loinc.org,,,
173,Radiologi,CT wrist nonkontras,Permintaan & Hasil,37459-5,CT Wrist WO contrast,Multisection^WO contrast,Find,Pt,Upper extremity>Wrist,Doc,CT,,http://loinc.org,,,
174,Radiologi,CTA abdomen dan pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,82679-2,CTA Abdominal vessels and Pelvis vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Abdominal vessels & Pelvis>Pelvis vessels,Doc,CT.angio,,http://loinc.org,,,
175,Radiologi,CTA abdomen nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30805-6,CTA Abdominal vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Abdominal vessels,Doc,CT.angio,,http://loinc.org,,,
176,Radiologi,CTA aorta abdominalis dan iliofemoral bilateral dengan kontras IV,Permintaan & Hasil,78037-9,CTA Abdominal Aorta and Bilateral Runoff Vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Abdomen>Aorta.abdominal & Pelvis+Lower extremity.bilateral>RO vessels,Doc,CT.angio,,http://loinc.org,,,
177,Radiologi,CTA aorta abdominalis dan iliofemoral bilateral non kontras diikuti dengan kontras IV,Permintaan & Hasil,78031-2,CTA Abdominal Aorta and Bilateral Runoff Vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Abdomen>Aorta.abdominal & Pelvis+Lower extremity.bilateral>RO vessels,Doc,CT.angio,,http://loinc.org,,,
178,Radiologi,CTA carotis dengan kontras IV,Permintaan & Hasil,36146-9,CTA Carotid artery W contrast IV,Multisection^W contrast IV,Find,Pt,Head+Neck>Carotid artery,Doc,CT.angio,,http://loinc.org,,,
179,Radiologi,CTA cerebral,Permintaan & Hasil,36830-8,CTA Head vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Head vessels,Doc,CT.angio,,http://loinc.org,,,
180,Radiologi,CTA cerebral dan carotis,Permintaan & Hasil,37498-3,CTA Head vessels and Neck vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Head>Head vessels & Neck>Neck vessels,Doc,CT.angio,,http://loinc.org,,,
181,Radiologi,CTA ekstremitas atas dengan kontras IV,Permintaan & Hasil,42295-6,CTA Upper extremity vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Upper extremity>Upper extremity vessels,Doc,CT.angio,,http://loinc.org,,,
182,Radiologi,CTA ekstremitas atas nonkontras diikuti dengan kontras IV,Permintaan & Hasil,36421-6,CTA Upper extremity vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Upper extremity>Upper extremity vessels,Doc,CT.angio,,http://loinc.org,,,
183,Radiologi,CTA ekstremitas bawah,Permintaan & Hasil,87845-4,CTA Lower extremity vessels,Multisection,Find,Pt,Lower extremity>Lower extremity vessels,Doc,CT.angio,,http://loinc.org,,,
184,Radiologi,CTA ekstremitas bawah nonkontras dilanjutkan dengan kontras IV,Permintaan & Hasil,30807-2,CTA Lower extremity vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Lower extremity>Lower extremity vessels,Doc,CT.angio,,http://loinc.org,,,
185,Radiologi,CTA ekstremitas bawah W contrast IV,Permintaan & Hasil,36831-6,CTA Lower extremity vessels W contrast IV,Multisection^W contrast IV,Find,Pt,Lower extremity>Lower extremity vessels,Doc,CT.angio,,http://loinc.org,,,
186,Radiologi,CTA jantung dan arteri koroner dengan kontras IV,Permintaan & Hasil,79073-3,CTA Heart and Coronary arteries W contrast IV,Multisection^W contrast IV,Find,Pt,Chest>Heart+Coronary arteries,Doc,CT.angio,,http://loinc.org,,,
187,Radiologi,CTA kepala nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30593-8,CTA Head vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Head>Head vessels,Doc,CT.angio,,http://loinc.org,,,
188,Radiologi,CTA leher nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30594-6,CTA Neck vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Neck>Neck vessels,Doc,CT.angio,,http://loinc.org,,,
189,Radiologi,CTA pelvis nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30623-3,CTA Pelvis vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Pelvis>Pelvis vessels,Doc,CT.angio,,http://loinc.org,,,
190,Radiologi,CTA thorax nonkontras diikuti dengan kontras IV,Permintaan & Hasil,30804-9,CTA Chest vessels WO and W contrast IV,Multisection^WO & W contrast IV,Find,Pt,Chest>Chest vessels,Doc,CT.angio,,http://loinc.org,,,
191,Radiologi,CTA untuk perencanaan tindakan bedah,Permintaan & Hasil,89851-0,CTA Unspecified body region limited,Multisection limited,Find,Pt,XXX,Doc,CT.angio,,http://loinc.org,,,
192,Radiologi,DBT diagnostik bilateral,Permintaan & Hasil,72139-9,DBT Breast - bilateral diagnostic,Multisection diagnostic,Find,Pt,Breast.bilateral,Doc,MG.tomosynthesis,,http://loinc.org,,,
193,Radiologi,DBT diagnostik unilateral,Permintaan & Hasil,86462-9,DBT Breast - unilateral,Multisection,Find,Pt,Breast.unilateral,Doc,MG.tomosynthesis,,http://loinc.org,,,
194,Radiologi,DBT skrining bilateral,Permintaan & Hasil,72142-3,DBT Breast - bilateral screening,Multisection screening,Find,Pt,Breast.bilateral,Doc,MG.tomosynthesis,,http://loinc.org,,,
195,Radiologi,Flexible sigmoidoscopy dengan lower endoscopic ultrasound,Permintaan & Hasil,97101-0,Flexible sigmoidoscopy+US Study,Flexible sigmoidoscopy and endoscopic ultrasound study,Find,Pt,Lower GI tract,Doc,Flexible sigmoidoscopy+US,,http://loinc.org,,,
196,Radiologi,Guidance angioplasti balon transluminal arteri perifer,Permintaan & Hasil,X099243,Guidance angioplasti balon transluminal arteri perifer,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
197,Radiologi,Guidance angioplasti balon transluminal ginjal atau arteri viseral lain,Permintaan & Hasil,X099244,Guidance angioplasti balon transluminal ginjal atau arteri viseral lain,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
198,Radiologi,Guidance angioplasti balon transluminal vena,Permintaan & Hasil,X099245,Guidance angioplasti balon transluminal vena,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
199,Radiologi,Guidance biopsi transkateter,Permintaan & Hasil,87167-3,Guidance for transcatheter biopsy,Guidance for transcatheter biopsy,Find,Pt,XXX,Doc,{Imaging modality},,http://loinc.org,,,
200,Radiologi,"Guidance pelebaran perkutaneus transhepatik striktur duktus biliaris, dengan atau tanpa pemasangan stent",Permintaan & Hasil,88930-3,Guidance for dilation of stricture and placement of stent of Biliary ducts-- W contrast IV,Guidance for dilation of stricture+placement of stent^W contrast IV,Find,Pt,Abdomen>Biliary ducts,Doc,{Imaging modality},,http://loinc.org,,,
201,Radiologi,Guidance pelepasan filter vena pada vena cava inferior,Permintaan & Hasil,87093-1,Guidance for removal of venous filter from Inferior vena cava,Guidance for removal of venous filter,Find,Pt,Abdomen>Vena cava.inferior,Doc,{Imaging modality},,http://loinc.org,,,
202,Radiologi,Guidance pelepasan filter vena pada vena cava superior,Permintaan & Hasil,87126-9,Guidance for removal of venous filter from Superior vena cava,Guidance for removal of venous filter,Find,Pt,Chest>Vena cava.superior,Doc,{Imaging modality},,http://loinc.org,,,
203,Radiologi,Guidance pemasangan filter inferior vena cava perkutaneus,Permintaan & Hasil,87092-3,Guidance for placement of venous filter in Inferior vena cava,Guidance for placement of venous filter,Find,Pt,Abdomen>Vena cava.inferior,Doc,{Imaging modality},,http://loinc.org,,,
204,Radiologi,Guidance pemasangan filter superior vena cava perkutaneus,Permintaan & Hasil,87128-5,Guidance for placement of venous filter in Superior vena cava,Guidance for placement of venous filter,Find,Pt,Chest>Vena cava.superior,Doc,{Imaging modality},,http://loinc.org,,,
205,Radiologi,Guidance pemasangan kateter atau stent ureter melalui pelvis renalis secara perkutan untuk injeksi atau drainase;,Permintaan & Hasil,87190-5,Guidance for percutaneous placement of nephroureteral stent of Kidney and Ureter and Urinary bladder,Guidance for percutaneous placement of nephroureteral stent,Find,Pt,Abdomen>Kidney & Abdomen+Pelvis>Ureter & Pelvis>Urinary bladder,Doc,{Imaging modality},,http://loinc.org,,,
206,Radiologi,Guidance pemasangan nefrostomi perkutan,Permintaan & Hasil,87066-7,Guidance for percutaneous placement of nephrostomy tube of Kidney,Guidance for percutaneous placement of nephrostomy tube,Find,Pt,Abdomen>Kidney,Doc,{Imaging modality},,http://loinc.org,,,
207,Radiologi,Guidance pemasanganan stent ureter,Permintaan & Hasil,88938-6,Guidance for placement of stent in Ureter,Guidance for placement of stent,Find,Pt,Abdomen+Pelvis>Ureter,Doc,{Imaging modality},,http://loinc.org,,,
208,Radiologi,Guidance percutaneous transhepatic biliary drainage dengan monitoring kontras,Permintaan & Hasil,X099246,Guidance percutaneous transhepatic biliary drainage dengan monitoring kontras,,,,,,,,http://terminology.kemkes.go.id/CodeSystem/examination,,,
209,Radiologi,Guidance reposisi filter vena pada vena cava inferior,Permintaan & Hasil,87094-9,Guidance for reposition of venous filter in Inferior vena cava,Guidance for reposition of venous filter,Find,Pt,Abdomen>Vena cava.inferior,Doc,{Imaging modality},,http://loinc.org,,,
210,Radiologi,Guidance reposisi filter vena pada vena cava superior,Permintaan & Hasil,87127-7,Guidance for reposition of venous filter in Superior vena cava,Guidance for reposition of venous filter,Find,Pt,Chest>Vena cava.superior,Doc,{Imaging modality},,http://loinc.org,,,
211,Radiologi,Guidance untuk sampling vena,Permintaan & Hasil,87202-8,Guidance for venous sampling of Vein,Guidance for venous sampling,Find,Pt,XXX>Vein,Doc,{Imaging modality},,http://loinc.org,,,
212,Radiologi,MG bilateral,Permintaan & Hasil,36626-0,MG Breast - bilateral Views,Views,Find,Pt,Breast.bilateral,Doc,MG,,http://loinc.org,,,
213,Radiologi,MG duktogram dengan kontras ID lebih dari satu duktus payudara,Permintaan & Hasil,39148-2,MG Breast duct Views W contrast intra multiple ducts,Views^W contrast intra multiple ducts,Find,Pt,Breast>Breast duct,Doc,MG,,http://loinc.org,,,
